======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.05, offset=0.0
  Stack: kernel=14 (280ms), stride=4 (80ms)
  Dropout: 0.3, L2: 1e-05
  Direction: UNIDIRECTIONAL (paper)
  Projection: 1280D → 256D via PCA
======================================================================
  Loading trial 2000/8780 (32.6s)...
  Loading trial 4000/8780 (55.8s)...
  Loading trial 6000/8780 (78.5s)...
  Loading trial 8000/8780 (101.3s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (109.8s)
  Stacked: kernel=14, stride=4
  Stacked features: 17920D per 80ms step
  Avg stacked length: 76 steps

Projecting features: 1280D → 256D via PCA...
  Raw feature dim per bin: 1280
  Re-loading with projection...
  PCA: 256 components explain 69.1% variance
  New stacked dim: 3584D

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (unidirectional), 53.8M params
  Input: 3584D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Target minibatches: 10000 → ~103 epochs
  LR: 0.0003 → ~0 linear decay
Epoch  69/103 | loss=0.5168 | val_PER=0.519 | lr=9.92e-05 | 14.3s
Epoch  70/103 | loss=0.5112 | val_PER=0.516 | lr=9.63e-05 | 14.0s
Epoch  71/103 | loss=0.4944 | val_PER=0.515 | lr=9.34e-05 | 13.5s
Epoch  72/103 | loss=0.4965 | val_PER=0.517 | lr=9.05e-05 | 14.4s
Epoch  73/103 | loss=0.4973 | val_PER=0.518 | lr=8.76e-05 | 12.5s
Epoch  74/103 | loss=0.4937 | val_PER=0.516 | lr=8.47e-05 | 14.1s
Epoch  75/103 | loss=0.4738 | val_PER=0.520 | lr=8.18e-05 | 11.6s
Epoch  76/103 | loss=0.4932 | val_PER=0.520 | lr=7.89e-05 | 14.5s
Epoch  77/103 | loss=0.4711 | val_PER=0.515 | lr=7.60e-05 | 15.0s
Epoch  78/103 | loss=0.4687 | val_PER=0.518 | lr=7.30e-05 | 12.2s
Epoch  79/103 | loss=0.4632 | val_PER=0.518 | lr=7.01e-05 | 14.5s
Epoch  80/103 | loss=0.4550 | val_PER=0.510 | lr=6.72e-05 | 10.6s
Epoch  81/103 | loss=0.4548 | val_PER=0.513 | lr=6.43e-05 | 9.4s
Epoch  82/103 | loss=0.4371 | val_PER=0.513 | lr=6.14e-05 | 8.6s
Epoch  83/103 | loss=0.4521 | val_PER=0.513 | lr=5.85e-05 | 8.1s
Epoch  84/103 | loss=0.4424 | val_PER=0.509 | lr=5.56e-05 | 8.7s
Epoch  85/103 | loss=0.4537 | val_PER=0.512 | lr=5.27e-05 | 8.4s
Epoch  86/103 | loss=0.4207 | val_PER=0.509 | lr=4.98e-05 | 8.7s
Epoch  87/103 | loss=0.4299 | val_PER=0.507 | lr=4.69e-05 | 8.4s
Epoch  88/103 | loss=0.4299 | val_PER=0.511 | lr=4.39e-05 | 8.9s
Epoch  89/103 | loss=0.4116 | val_PER=0.509 | lr=4.10e-05 | 9.0s
Epoch  90/103 | loss=0.4155 | val_PER=0.510 | lr=3.81e-05 | 8.6s
Epoch  91/103 | loss=0.4150 | val_PER=0.509 | lr=3.52e-05 | 8.5s
Epoch  92/103 | loss=0.4122 | val_PER=0.510 | lr=3.23e-05 | 8.2s
Epoch  93/103 | loss=0.4107 | val_PER=0.509 | lr=2.94e-05 | 8.4s
Epoch  94/103 | loss=0.4246 | val_PER=0.508 | lr=2.65e-05 | 8.8s
Epoch  95/103 | loss=0.4152 | val_PER=0.509 | lr=2.36e-05 | 9.0s
Epoch  96/103 | loss=0.4010 | val_PER=0.509 | lr=2.07e-05 | 9.1s
Epoch  97/103 | loss=0.3929 | val_PER=0.508 | lr=1.78e-05 | 8.0s
Early stop at epoch 97

======================================================================
TEST RESULTS — Paper Replica
  Val PER:  50.7%
  Test PER: 61.6%
  Paper:    19.7% PER
  Previous best: 55.2% PER (RNN-T)
======================================================================
Results: /mnt/home/vincent.wilmet/brain2speech/results/paper_replica_20260312_221759.json
Model: /mnt/home/vincent.wilmet/brain2speech/results/paper_replica_best.pt
